ID,mag_name,link_to_assembly,AB_batch,eha_number,GTDB_version,GTDB_release,domain,phylum,class,order,family,genus,species,fastani_ani,closest_placement_ani,closest_placement_af,completeness,contamination,size,GC,N50,coding_density,contigs,number_genes,number_unannotated_genes,DM_batch,host_species,host_order,host_class,locality,country,MAG_url,anno_url,kegg_url,annotated,taxonomy_level,assembly_type,sample_type,gbk_url,kegg_hits,Capture ID,percent_unannotated_genes,percent_unannotated_kegg,dereplicated,metagenomic source,completeness software,binning software,assembly quality,binning parameters,taxonomic identity marker, isolation_source, assembly software,Submission
EHM069668,EHA04689_bin.8.fa,EHA04689,ABB0562,EHA04689,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD8-76,s__1XD8-76 sp022799355,98.21,98.21,0.86,88.53,0.83,3311990,48.00%,43899,0.90,135,3026,566,DMB0169,Rattus rattus,Rodentia,Mammalia,"Lake Mackenzie Road, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0562/EHA04689_bin.8.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069668_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069668_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069668.gbk.gz,1503,SD0465401,18.7,50.3,DMB0169,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM070284,EHA04696_bin.290.fa,EHA04696,ABB0563,EHA04696,2.3.0,,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD8-76,s__1XD8-76 sp022799355,98.07,98.07,0.87,83.40,3.17,3400529,48.00%,19689,0.90,277,,,DMB0169,Rattus rattus,Rodentia,Mammalia,"Forth, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0563/EHA04696_bin.290.fa.gz,,,false,Species,Coassembly,Faecal,,,"SD0460601, SD0467101, SD0460501, SD0456501, SD0460001, SD0466601, SD0460101, SD0455801, SD0467401, SD0465401, SD0457401, SD0465801, SD0460401, SD0461801, SD0461401, SD0455501",,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM075410,EHA05078_bin.276.fa,EHA05078,ABB0602,EHA05078,2.3.0,,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD8-76,s__1XD8-76 sp022799355,98.13,98.13,0.87,82.20,1.65,3380067,48.00%,19621,0.90,267,3206,656,DMB0173,Rattus rattus,Rodentia,Mammalia,"Forth, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0602/EHA05078_bin.276.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM075410_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM075410_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM075410.gbk.gz,1478,"SD0460601, SD0467101, SD0460501, SD0456501, SD0460001, SD0466601, SD0460101, SD0455801, SD0467401, SD0465401, SD0457401, SD0465801, SD0460401, SD0461801, SD0461401, SD0455501",20.5,53.9,DMB0173,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM069418,EHA04684_bin.7.fa,EHA04684,ABB0562,EHA04684,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD42-69,s__1XD42-69 sp011959925,98.77,98.77,0.83,96.28,0.79,2410969,46.00%,27385,0.92,132,2182,432,DMB0169,Rattus rattus,Rodentia,Mammalia,"Forth, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0562/EHA04684_bin.7.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069418_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069418_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069418.gbk.gz,1050,SD0460001,19.8,51.9,DMB0169,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM069603,EHA04695_bin.14.fa,EHA04695,ABB0562,EHA04695,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD42-69,s__1XD42-69 sp011959925,96.82,96.82,0.86,54.72,5.05,1698520,46.00%,3062,0.93,590,1152,274,DMB0169,Rattus rattus,Rodentia,Mammalia,"Inglis River, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0562/EHA04695_bin.14.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069603_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069603_kegg.tsv.gz,true,Species,Individual,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM069603.gbk.gz,452,SD0455501,23.8,60.8,DMB0169,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM070302,EHA04696_bin.309.fa,EHA04696,ABB0563,EHA04696,2.3.0,,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD42-69,s__1XD42-69 sp011959925,98.79,98.79,0.82,86.57,2.63,2706521,46.00%,12517,0.91,307,,,DMB0169,Rattus rattus,Rodentia,Mammalia,"Forth, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0563/EHA04696_bin.309.fa.gz,,,false,Species,Coassembly,Faecal,,,"SD0460601, SD0467101, SD0460501, SD0456501, SD0460001, SD0466601, SD0460101, SD0455801, SD0467401, SD0465401, SD0457401, SD0465801, SD0460401, SD0461801, SD0461401, SD0455501",,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM075432,EHA05078_bin.296.fa,EHA05078,ABB0602,EHA05078,2.3.0,,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD42-69,s__1XD42-69 sp011959925,98.69,98.69,0.82,86.00,3.25,2767654,45.00%,12063,0.91,321,2552,555,DMB0173,Rattus rattus,Rodentia,Mammalia,"Forth, Tasmania",Australia,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0602/EHA05078_bin.296.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM075432_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM075432_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM075432.gbk.gz,1129,"SD0460601, SD0467101, SD0460501, SD0456501, SD0460001, SD0466601, SD0460101, SD0455801, SD0467401, SD0465401, SD0457401, SD0465801, SD0460401, SD0461801, SD0461401, SD0455501",21.7,55.8,DMB0173,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM042709,EHA02748_bin.34.fa,EHA02748,ABB0305,EHA02748,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD42-69,s__1XD42-69 sp910585825,96.03,96.03,0.84,73.81,2.21,2236313,43.00%,3633,0.92,673,1686,428,"DMB0052,DMB0114,DMB0146",Apodemus sylvaticus,Rodentia,Mammalia,Scotland,United Kingdom,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0305/EHA02748_bin.34.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042709_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042709_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM042709.gbk.gz,651,"SD0014801, SD0014601, SD0015101, SD0015001, SD0014501, SD0014401, SD0015401",25.4,61.4,"DMB0052,DMB0114,DMB0146",1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM054870,EHA03613_bin.114.fa,EHA03613,ABB0426,EHA03613,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD42-69,s__1XD42-69 sp910585825,96.48,96.48,0.84,90.84,0.98,2849544,43.00%,19813,0.88,211,2582,564,DMB0146,Apodemus sylvaticus,Rodentia,Mammalia,Normandie,France,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0426/EHA03613_bin.114.fa.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM054870_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM054870_kegg.tsv.gz,true,Species,Coassembly,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM054870.gbk.gz,1219,"SD0240601, SD0240501, SD0066901, SD0067101, SD0014601, SD0014801, SD0015001, SD0015101, SD0014501, SD0014401, SD0015401, SD0308901, SD0310101, SD0309501, SD0309201, SD0309701, SD0309101, SD0309301",21.8,52.8,DMB0146,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
EHM057110,EHA04107_bin.9.fa,EHA04107,ABB0461,EHA04107,2.3.0,R214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__1XD42-69,s__1XD42-69 sp910585825,96.30,96.30,0.87,75.57,1.49,2341902,43.00%,6304,0.92,457,,,DMB0146,Apodemus sylvaticus,Rodentia,Mammalia,Catalonia,Spain,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0461/EHA04107_bin.9.fa.gz,,,false,Species,Coassembly,Faecal,,,"SD0309101, SD0309201, SD0309701, SD0309501, SD0309301, SD0310101, SD0308901",,,,1861841,CheckM2 v1.0.1,"MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module",Many fragments with little to no review of assembly other than reporting of standard assembly statistics,default binning parameters,GTDB-tk v2.3.0,host-associated,Megahit v1.2.9,
