contig_id	mag
EHA00531_bin.1^_0	EHA00531_bin.1
EHA00531_bin.1^_1	EHA00531_bin.1
EHA00531_bin.1^_2	EHA00531_bin.1
EHA00531_bin.1^_3	EHA00531_bin.1
EHA00531_bin.1^_4	EHA00531_bin.1
EHA00531_bin.1^_5	EHA00531_bin.1
EHA00531_bin.1^_6	EHA00531_bin.1
EHA00531_bin.1^_7	EHA00531_bin.1
EHA00531_bin.1^_8	EHA00531_bin.1
EHA00531_bin.1^_9	EHA00531_bin.1
EHA00531_bin.1^_10	EHA00531_bin.1
EHA00531_bin.1^_11	EHA00531_bin.1
EHA00531_bin.1^_12	EHA00531_bin.1
EHA00531_bin.1^_13	EHA00531_bin.1
EHA00531_bin.1^_14	EHA00531_bin.1
EHA00531_bin.1^_15	EHA00531_bin.1
EHA00531_bin.1^_16	EHA00531_bin.1
EHA00531_bin.1^_17	EHA00531_bin.1
EHA00531_bin.1^_18	EHA00531_bin.1
EHA00531_bin.1^_19	EHA00531_bin.1
EHA00531_bin.1^_20	EHA00531_bin.1
EHA00531_bin.1^_21	EHA00531_bin.1
EHA00531_bin.1^_22	EHA00531_bin.1
EHA00531_bin.1^_23	EHA00531_bin.1
EHA00531_bin.1^_24	EHA00531_bin.1
EHA00531_bin.1^_25	EHA00531_bin.1
EHA00531_bin.1^_26	EHA00531_bin.1
EHA00531_bin.1^_27	EHA00531_bin.1
EHA00531_bin.1^_28	EHA00531_bin.1
EHA00531_bin.1^_29	EHA00531_bin.1
EHA00531_bin.1^_30	EHA00531_bin.1
EHA00531_bin.1^_31	EHA00531_bin.1
EHA00531_bin.1^_32	EHA00531_bin.1
EHA00531_bin.1^_33	EHA00531_bin.1
EHA00531_bin.1^_34	EHA00531_bin.1
EHA00531_bin.1^_35	EHA00531_bin.1
EHA00531_bin.1^_36	EHA00531_bin.1
EHA00531_bin.1^_37	EHA00531_bin.1
EHA00531_bin.1^_38	EHA00531_bin.1
EHA00531_bin.1^_39	EHA00531_bin.1
EHA00531_bin.1^_40	EHA00531_bin.1
EHA00531_bin.1^_41	EHA00531_bin.1
EHA00531_bin.1^_42	EHA00531_bin.1
EHA00531_bin.1^_43	EHA00531_bin.1
EHA00531_bin.1^_44	EHA00531_bin.1
EHA00531_bin.1^_45	EHA00531_bin.1
EHA00531_bin.1^_46	EHA00531_bin.1
EHA00531_bin.1^_47	EHA00531_bin.1
EHA00531_bin.1^_48	EHA00531_bin.1
EHA00531_bin.1^_49	EHA00531_bin.1
EHA00531_bin.1^_50	EHA00531_bin.1
EHA00531_bin.1^_51	EHA00531_bin.1
EHA00531_bin.1^_52	EHA00531_bin.1
EHA00531_bin.1^_53	EHA00531_bin.1
EHA00531_bin.1^_54	EHA00531_bin.1
EHA00531_bin.1^_55	EHA00531_bin.1
EHA00531_bin.1^_56	EHA00531_bin.1
EHA00531_bin.1^_57	EHA00531_bin.1
EHA00531_bin.1^_58	EHA00531_bin.1
EHA00531_bin.1^_59	EHA00531_bin.1
EHA00531_bin.1^_60	EHA00531_bin.1
EHA00531_bin.1^_61	EHA00531_bin.1
EHA00531_bin.1^_62	EHA00531_bin.1
EHA00531_bin.1^_63	EHA00531_bin.1
EHA00531_bin.1^_64	EHA00531_bin.1
EHA00531_bin.1^_65	EHA00531_bin.1
EHA00531_bin.1^_66	EHA00531_bin.1
EHA00531_bin.1^_67	EHA00531_bin.1
EHA00531_bin.1^_68	EHA00531_bin.1
EHA00531_bin.1^_69	EHA00531_bin.1
EHA00531_bin.1^_70	EHA00531_bin.1
EHA00531_bin.1^_71	EHA00531_bin.1
EHA00531_bin.1^_72	EHA00531_bin.1
EHA00531_bin.1^_73	EHA00531_bin.1
EHA00531_bin.1^_74	EHA00531_bin.1
EHA00531_bin.1^_75	EHA00531_bin.1
EHA00531_bin.1^_76	EHA00531_bin.1
EHA00531_bin.1^_77	EHA00531_bin.1
EHA00531_bin.1^_78	EHA00531_bin.1
EHA00531_bin.1^_79	EHA00531_bin.1
EHA00531_bin.1^_80	EHA00531_bin.1
EHA00531_bin.1^_81	EHA00531_bin.1
EHA00531_bin.1^_82	EHA00531_bin.1
EHA00531_bin.1^_83	EHA00531_bin.1
EHA00531_bin.1^_84	EHA00531_bin.1
EHA00531_bin.1^_85	EHA00531_bin.1
EHA00531_bin.1^_86	EHA00531_bin.1
EHA00531_bin.1^_87	EHA00531_bin.1
EHA00531_bin.1^_88	EHA00531_bin.1
EHA00531_bin.1^_89	EHA00531_bin.1
EHA00531_bin.1^_90	EHA00531_bin.1
EHA00531_bin.1^_91	EHA00531_bin.1
EHA00531_bin.1^_92	EHA00531_bin.1
EHA00531_bin.1^_93	EHA00531_bin.1
EHA00531_bin.1^_94	EHA00531_bin.1
EHA00531_bin.1^_95	EHA00531_bin.1
EHA00531_bin.1^_96	EHA00531_bin.1
EHA00531_bin.1^_97	EHA00531_bin.1
EHA00531_bin.1^_98	EHA00531_bin.1
EHA00531_bin.1^_99	EHA00531_bin.1
EHA00531_bin.1^_100	EHA00531_bin.1
EHA00531_bin.1^_101	EHA00531_bin.1
EHA00531_bin.1^_102	EHA00531_bin.1
EHA00531_bin.1^_103	EHA00531_bin.1
EHA00531_bin.1^_104	EHA00531_bin.1
EHA00531_bin.1^_105	EHA00531_bin.1
EHA00531_bin.1^_106	EHA00531_bin.1
EHA00531_bin.1^_107	EHA00531_bin.1
EHA00531_bin.1^_108	EHA00531_bin.1
EHA00531_bin.1^_109	EHA00531_bin.1
EHA00531_bin.1^_110	EHA00531_bin.1
EHA00531_bin.1^_111	EHA00531_bin.1
EHA00531_bin.1^_112	EHA00531_bin.1
EHA00531_bin.1^_113	EHA00531_bin.1
EHA00531_bin.1^_114	EHA00531_bin.1
EHA00531_bin.1^_115	EHA00531_bin.1
EHA00531_bin.1^_116	EHA00531_bin.1
EHA00531_bin.1^_117	EHA00531_bin.1
EHA00531_bin.1^_118	EHA00531_bin.1
EHA00531_bin.1^_119	EHA00531_bin.1
EHA00531_bin.1^_120	EHA00531_bin.1
EHA00531_bin.1^_121	EHA00531_bin.1
EHA00531_bin.1^_122	EHA00531_bin.1
EHA00531_bin.1^_123	EHA00531_bin.1
EHA00531_bin.1^_124	EHA00531_bin.1
EHA00531_bin.1^_125	EHA00531_bin.1
EHA00531_bin.1^_126	EHA00531_bin.1
EHA00531_bin.1^_127	EHA00531_bin.1
EHA00531_bin.1^_128	EHA00531_bin.1
EHA00531_bin.1^_129	EHA00531_bin.1
