Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM013277	16	16	16	16	15	14	2305439	2305439	2305439	2305439	2291156	2256537	16	331107	2305439	34.89	199102	98316	192996.6	5	12	0.00	2 + 1 part
EHM015868	19	19	18	15	14	11	2394853	2394853	2391435	2364798	2350556	2260199	19	419665	2394853	34.88	206606	69177	239391.9	5	10	0.00	3 + 1 part
EHM016594	54	54	50	46	30	16	2192958	2192958	2177917	2146617	1873242	1397258	54	202883	2192958	34.91	71364	19273	77211.1	11	35	0.00	3 + 1 part
EHM017294	21	21	18	17	16	13	2583348	2583348	2574862	2568841	2554600	2456767	21	468374	2583348	34.78	233163	73045	258268.2	4	12	0.00	4 + 0 part
EHM019886	32	32	28	28	22	15	2419581	2419581	2410741	2410741	2325830	2082319	32	272917	2419581	34.92	135219	37901	146134.8	7	18	0.00	1 + 0 part
EHM020035	107	107	91	75	34	7	2309135	2309135	2262141	2131833	1512823	529148	107	107077	2309135	34.88	36284	11135	39468.7	23	70	0.00	3 + 1 part
EHM025059	16	16	15	15	14	13	2343375	2343375	2339957	2339957	2325715	2293733	16	325484	2343375	34.95	206606	75378	210537.7	5	11	0.00	3 + 1 part
EHM025679	22	22	21	20	19	16	2310490	2310490	2306461	2300255	2285972	2190271	22	276602	2310490	34.87	145897	57961	161449.6	6	14	0.00	2 + 0 part
EHM027656	292	292	143	58	5	0	2040196	2040196	1560454	967102	150969	0	292	40341	2040196	35.08	9630	3474	11878.7	64	209	0.00	1 + 0 part
EHM028200	110	110	91	71	34	6	2218744	2218744	2155702	2008367	1403039	373190	110	73505	2218744	35.05	33136	10384	33839.9	24	70	0.00	2 + 0 part
EHM028346	288	288	159	78	23	4	2654943	2654943	2273850	1704946	873888	246213	288	79244	2654943	34.88	14832	3891	21013.1	47	186	0.00	4 + 0 part
EHM028354	85	85	70	58	35	15	2450476	2450476	2405138	2316845	1901767	1204122	85	133766	2450476	34.83	48754	16480	57444.6	16	51	0.00	2 + 2 part
EHM028422	23	23	21	21	17	16	2450464	2450464	2445602	2445602	2379525	2330730	23	521890	2450464	34.77	178309	67952	223240.0	5	14	0.00	2 + 0 part
EHM031001	41	41	38	36	27	13	2262278	2262278	2253770	2240772	2074559	1558530	41	212606	2262278	35.09	82765	25689	110074.2	8	26	0.00	2 + 1 part
EHM031128	26	26	24	22	19	13	2270986	2270986	2264449	2251451	2197799	1998189	26	428748	2270986	34.99	195018	36949	190575.5	5	15	0.00	3 + 0 part
EHM031160	28	28	26	24	21	15	2263829	2263829	2258657	2245659	2192083	1987841	28	225625	2263829	34.99	134814	37331	140293.4	6	17	0.00	2 + 0 part
EHM031663	29	29	28	23	18	12	2313944	2313944	2309067	2274917	2192191	1992581	29	616705	2313944	34.99	199338	34748	255008.6	4	15	0.00	3 + 0 part
EHM034137	146	146	99	71	37	13	2733714	2733714	2603703	2404397	1856039	951507	146	161409	2733714	34.60	44275	8741	46415.6	22	77	0.00	3 + 0 part
EHM040253	19	19	12	12	11	10	2318333	2318333	2299998	2299998	2282811	2249056	19	450809	2318333	34.98	264097	123611	277671.6	4	8	0.00	2 + 0 part
EHM041306	105	105	90	68	36	14	2591553	2591553	2548152	2388807	1835129	1057947	105	144492	2591553	34.88	42494	12454	49646.2	20	63	0.00	2 + 0 part
EHM041731	19	19	19	19	17	16	2324758	2324758	2324758	2324758	2298162	2267564	19	263771	2324758	34.88	154464	68416	168087.0	6	14	0.00	4 + 0 part
EHM042508	70	70	61	54	38	18	2376588	2376588	2351710	2299754	2015373	1300240	70	108401	2376588	34.81	54822	21788	54631.1	16	44	0.00	3 + 1 part
EHM043079	45	45	39	33	24	19	2375672	2375672	2356041	2314264	2172857	1982050	45	264062	2375672	34.76	86252	34946	117961.3	8	23	0.00	3 + 3 part
EHM044953	75	75	55	47	30	17	2779438	2779438	2720132	2665157	2421152	1938318	75	218079	2779438	34.50	83340	16056	101356.0	10	35	0.00	2 + 0 part
EHM045744	121	121	99	68	28	4	2127456	2127456	2059329	1837588	1157478	243377	121	82595	2127456	35.07	27088	8033	30886.8	25	77	0.00	1 + 0 part
EHM045766	19	19	19	19	14	10	2556797	2556797	2556797	2556797	2467639	2332761	19	469516	2556797	34.69	291327	68702	289324.2	4	10	0.00	5 + 0 part
EHM045845	86	86	77	66	36	13	2298823	2298823	2270737	2191795	1707141	854672	86	100792	2298823	34.98	44538	13699	43782.5	20	57	0.00	2 + 0 part
