contig_id	mag
EHA00302_bin.9^_0	EHM013411
EHA00302_bin.9^_1	EHM013411
EHA00302_bin.9^_2	EHM013411
EHA00302_bin.9^_3	EHM013411
EHA00302_bin.9^_4	EHM013411
EHA00302_bin.9^_5	EHM013411
EHA00302_bin.9^_6	EHM013411
EHA00302_bin.9^_7	EHM013411
EHA00302_bin.9^_8	EHM013411
EHA00302_bin.9^_9	EHM013411
EHA00302_bin.9^_10	EHM013411
EHA00302_bin.9^_11	EHM013411
EHA00302_bin.9^_12	EHM013411
EHA00302_bin.9^_13	EHM013411
EHA00302_bin.9^_14	EHM013411
EHA00302_bin.9^_15	EHM013411
EHA00302_bin.9^_16	EHM013411
EHA00302_bin.9^_17	EHM013411
EHA00302_bin.9^_18	EHM013411
EHA00302_bin.9^_19	EHM013411
EHA00302_bin.9^_20	EHM013411
EHA00302_bin.9^_21	EHM013411
EHA00302_bin.9^_22	EHM013411
EHA00302_bin.9^_23	EHM013411
EHA00302_bin.9^_24	EHM013411
EHA00302_bin.9^_25	EHM013411
EHA00302_bin.9^_26	EHM013411
EHA00302_bin.9^_27	EHM013411
EHA00302_bin.9^_28	EHM013411
EHA00302_bin.9^_29	EHM013411
EHA00302_bin.9^_30	EHM013411
EHA00302_bin.9^_31	EHM013411
EHA00302_bin.9^_32	EHM013411
EHA00302_bin.9^_33	EHM013411
EHA00302_bin.9^_34	EHM013411
EHA00302_bin.9^_35	EHM013411
EHA00302_bin.9^_36	EHM013411
EHA00302_bin.9^_37	EHM013411
EHA00302_bin.9^_38	EHM013411
EHA00302_bin.9^_39	EHM013411
EHA00302_bin.9^_40	EHM013411
EHA00302_bin.9^_41	EHM013411
EHA00302_bin.9^_42	EHM013411
EHA00302_bin.9^_43	EHM013411
EHA00302_bin.9^_44	EHM013411
EHA00302_bin.9^_45	EHM013411
EHA00302_bin.9^_46	EHM013411
EHA00302_bin.9^_47	EHM013411
EHA00302_bin.9^_48	EHM013411
EHA00302_bin.9^_49	EHM013411
EHA00302_bin.9^_50	EHM013411
EHA00302_bin.9^_51	EHM013411
EHA00302_bin.9^_52	EHM013411
EHA00302_bin.9^_53	EHM013411
EHA00302_bin.9^_54	EHM013411
EHA00302_bin.9^_55	EHM013411
EHA00302_bin.9^_56	EHM013411
EHA00302_bin.9^_57	EHM013411
EHA00302_bin.9^_58	EHM013411
EHA00302_bin.9^_59	EHM013411
EHA00302_bin.9^_60	EHM013411
EHA00302_bin.9^_61	EHM013411
EHA00302_bin.9^_62	EHM013411
EHA00302_bin.9^_63	EHM013411
EHA00302_bin.9^_64	EHM013411
EHA00302_bin.9^_65	EHM013411
EHA00302_bin.9^_66	EHM013411
EHA00302_bin.9^_67	EHM013411
EHA00302_bin.9^_68	EHM013411
EHA00302_bin.9^_69	EHM013411
EHA00302_bin.9^_70	EHM013411
EHA00302_bin.9^_71	EHM013411
EHA00302_bin.9^_72	EHM013411
EHA00302_bin.9^_73	EHM013411
EHA00302_bin.9^_74	EHM013411
EHA00302_bin.9^_75	EHM013411
EHA00302_bin.9^_76	EHM013411
EHA00302_bin.9^_77	EHM013411
EHA00302_bin.9^_78	EHM013411
EHA00302_bin.9^_79	EHM013411
EHA00302_bin.9^_80	EHM013411
