Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM020807	683	683	290	150	28	3	4879624	4879624	3857984	2839627	970271	162084	683	58159	4879624	46.80	12048	2696	15863.5	114	437	0.00	1 + 3 part
EHM023433	357	357	215	124	30	0	3608286	3608286	3179141	2493777	996094	0	357	49572	3608286	47.03	16207	4327	18475.4	70	230	0.00	1 + 3 part
EHM023612	245	245	202	135	51	10	3941684	3941684	3802425	3332544	2012119	625738	245	85722	3941684	47.29	25608	7497	29123.4	50	161	0.00	0 + 2 part
EHM031744	108	108	98	77	47	20	3543037	3543037	3508249	3360330	2891776	1967542	108	213010	3543037	46.56	58873	14053	76767.5	17	63	0.00	0 + 2 part
EHM038988	331	331	210	143	53	9	4396488	4396488	4052749	3606236	2148600	620241	331	123715	4396488	47.27	24910	5746	30462.6	55	193	0.00	1 + 5 part
EHM039843	325	325	215	131	29	5	3812384	3812384	3453878	2838231	1155194	340248	325	78457	3812384	47.02	18216	5148	23084.0	64	211	0.00	1 + 3 part
EHM046650	49	49	48	46	40	27	4260168	4260168	4255459	4241567	4137551	3656739	49	313804	4260168	46.54	167844	42705	154329.8	10	31	0.00	1 + 3 part
EHM046691	53	53	52	48	44	31	4370944	4370944	4366476	4340546	4285008	3821611	53	390562	4370944	46.53	132858	44272	151446.7	11	34	0.00	1 + 3 part
EHM047014	118	118	103	80	50	37	5698269	5698269	5646149	5463246	4982013	4540618	118	497498	5698269	46.28	112636	21003	152518.3	15	57	0.00	1 + 3 part
EHM047206	266	266	199	143	65	13	4647762	4647762	4437604	4042925	2764795	947673	266	192642	4647762	46.39	31082	8271	38359.4	50	159	0.00	1 + 3 part
EHM047228	41	41	41	39	34	26	3916011	3916011	3916011	3903458	3810634	3507553	41	350909	3916011	46.76	129680	48099	165835.8	9	27	0.00	0 + 3 part
EHM047403	45	45	37	31	25	22	4332538	4332538	4303120	4256944	4157184	4049452	45	406193	4332538	46.42	230507	67426	242744.6	7	20	0.00	1 + 3 part
EHM048283	254	254	201	141	61	13	4244938	4244938	4070685	3615182	2388225	797776	254	84358	4244938	46.68	27358	8432	30561.6	51	164	0.00	0 + 3 part
EHM048620	186	186	162	113	60	14	3778015	3778015	3690840	3337417	2451998	923172	186	132173	3778015	47.06	30557	8908	36634.9	40	120	0.00	1 + 4 part
EHM048743	163	163	141	114	53	13	3553575	3553575	3470127	3268273	2286759	914064	163	140234	3553575	47.11	33139	11137	39050.9	36	108	0.00	1 + 3 part
EHM064839	92	92	89	83	55	34	4058721	4058721	4046632	4005178	3539565	2786804	92	149611	4058721	46.45	67256	21182	70654.6	22	60	0.00	0 + 2 part
EHM064885	86	86	85	74	58	29	4121554	4121554	4117538	4032868	3753170	2646740	86	151177	4121554	46.72	76744	25844	75418.5	20	57	0.00	1 + 3 part
EHM065153	84	84	82	74	48	31	4321311	4321311	4314689	4253301	3868327	3273537	84	248546	4321311	46.73	90074	24548	104883.8	15	49	0.00	1 + 3 part
EHM082228	60	60	56	51	39	28	4098195	4098195	4085087	4052107	3852137	3459320	60	378739	4098195	46.66	117741	34749	134850.2	12	34	0.00	0 + 4 part
GCA_000437295.1	72	56	47	41	34	26	4270326	4259531	4240482	4194719	4073748	3768852	56	348304	4259531	46.43	177213	47988	179964.2	9	28	114.03	0 + 0 part
GCA_002320565.1	58	58	56	53	42	32	4121457	4121457	4112403	4087415	3927035	3575362	58	419744	4121457	46.65	130499	42705	138957.9	12	35	20.60	0 + 0 part
GCA_003463375.1	123	115	75	66	49	39	4895468	4889076	4793790	4728815	4458587	4082584	115	266379	4889076	46.43	99624	30297	110976.4	17	47	0.00	3 + 0 part
