ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM013294	EHA00364_bin.9.fa	EHA00364	ABB0113	EHA00364	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	97.89	97.89	0.93	98.5	1.24	4365921	48.90%	44590	NA	166	NA	NA	NA	Podarcis muralis	Squamata	Reptilia	Occitanie, Tourmalet	France	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0113/EHA00364_bin.9.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0086901	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS010
EHM015753	EHA00296_bin.4.fa	EHA00296	ABB0114	EHA00296	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	98.84	98.84	0.89	98.23	2.08	4665003	48.60%	106626	NA	83	NA	NA	NA	Podarcis muralis	Squamata	Reptilia	Catalunya	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0114/EHA00296_bin.4.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0060201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS011
EHM019821	EHA00179_bin.1.fa	EHA00179	ABB0137	EHA00179	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	95.58	95.58	0.86	98.66	0.29	4692946	48.40%	431562	NA	23	4245	410	DMB0029,DMB0114,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Cuenca	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0137/EHA00179_bin.1.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019821_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019821_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019821.gbk.gz	2989	SD0047601, SD0047701, SD0047301, SD0047501	9.7	29.6	DMB0029,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM025215	EHA01539_bin.53.fa	EHA01539	ABB0215	EHA01539	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	98.86	98.86	0.91	99.18	1.69	4572461	48.80%	105776	NA	73	4184	400	DMB0010,DMB0112,DMB0113,DMB0114	Podarcis muralis	Squamata	Reptilia	Catalunya	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0215/EHA01539_bin.53.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025215_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025215_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025215.gbk.gz	2988	SD0060501, SD0060101, SD0061001, SD0061101, SD0060301, SD0060201, SD0060701	9.6	28.6	DMB0010,DMB0112,DMB0114,DMB0113	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM025665	EHA01477_bin.50.fa	EHA01477	ABB0204	EHA01477	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	97.88	97.88	0.92	99.6	1.61	4439673	48.80%	37578	NA	188	4128	365	DMB0011,DMB0112,DMB0113,DMB0114	Podarcis muralis	Squamata	Reptilia	Occitanie, Tourmalet	France	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0204/EHA01477_bin.50.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025665_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025665_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM025665.gbk.gz	2939	SD0086801, SD0087201, SD0086901, SD0087001	8.8	28.8	DMB0011,DMB0112,DMB0114,DMB0113	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM028353	EHA01290_bin.2.fa	EHA01290	ABB0174	EHA01290	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	98.94	98.94	0.91	99.97	2.36	4504806	49.00%	52348	0.86	146	4120	335	DMB0029,DMB0114,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Berlin-Brandenburg	Germany	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0174/EHA01290_bin.2.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM028353_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM028353_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM028353.gbk.gz	2999	SD0141601	8.1	27.2	DMB0029,DMB0114,DMB0172	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM044950	EHA03003_bin.1.fa	EHA03003	ABB0369	EHA03003	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	95.65	95.65	0.86	100	0.49	4683658	49.00%	412979	0.86	25	4239	398	DMB0172	Plecotus auritus	Chiroptera	Mammalia	Berlin-Brandenburg	Germany	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0369/EHA03003_bin.1.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM044950_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM044950_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM044950.gbk.gz	2991	SD0144201	9.4	29.4	DMB0172	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM052097	EHA03512_bin.15.fa	EHA03512	ABB0415	EHA03512	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	95.86	95.86	0.94	95.07	1.87	4007009	49.00%	35546	0.86	165	NA	NA	DMB0127,DMB0134,DMB0172	Plecotus auritus	Chiroptera	Mammalia	León	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0415/EHA03512_bin.15.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0050101, SD0050101, SD0049601, SD0049601, SD0049601, SD0050101	NA	NA	DMB0127,DMB0134	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM066267	EHA04718_bin.3.fa	EHA04718	ABB0564	EHA04718	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	95.58	95.58	0.84	99.86	1.8	4782203	49.00%	53959	0.86	146	NA	NA	DMB0172	Plecotus auritus	Chiroptera	Mammalia	León	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0564/EHA04718_bin.3.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0050001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM066364	EHA04726_bin.2.fa	EHA04726	ABB0564	EHA04726	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	95.17	95.17	0.89	93.64	1.65	4028733	49.00%	50092	0.84	112	4251	665	DMB0172	Plecotus auritus	Chiroptera	Mammalia	Łomża	Poland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0564/EHA04726_bin.2.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066364_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066364_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM066364.gbk.gz	2442	SD0119701	15.6	42.6	DMB0172	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
