ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM020433	EHA01259_bin.32.fa	EHA01259	ABB0173	EHA01259	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	98.15	98.15	0.86	95.03	0.37	2286114	37.50%	8822	NA	355	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Menlo, Galway	Ireland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0173/EHA01259_bin.32.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0185501	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM022160	EHA00947_bin.8.fa	EHA00947	ABB0167	EHA00947	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	98.09	98.09	0.87	96.34	0.8	2289842	37.50%	8766	NA	346	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Menlo, Galway	Ireland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0167/EHA00947_bin.8.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0185401, SD0185301, SD0185501, SD0186001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM023359	EHA00928_bin.130.fa	EHA00928	ABB0166	EHA00928	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	98.93	0	0	95.5	0.37	2090628	37.50%	24084	NA	121	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Varese	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0166/EHA00928_bin.130.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0177701, SD0175201, SD0169102, SD0175301, SD0177601, SD0044604, SD0170402, SD0178901, SD0172601, SD0046603, SD0172501, SD0179101, SD0031202, SD0179001, SD0176802, SD0040203, SD0032503, SD0032601, SD0030601	NA	NA	DMB0006,DMB0025	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM024230	EHA00890_bin.43.fa	EHA00890	ABB0161	EHA00890	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	96.82	0	0	97	0	2151706	37.70%	11070	NA	294	NA	NA	DMB0006,DMB0025	Sciurus vulgaris	Rodentia	Mammalia	Ballina, Co.Mayo	Ireland	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0161/EHA00890_bin.43.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0185201, SD0184301, SD0184201, SD0184601, SD0183901, SD0183801, SD0183602, SD0183701	NA	NA	DMB0006,DMB0025	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM028338	EHA01830_bin.6.fa	EHA01830	ABB0240	EHA01830	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	98.83	98.83	0.91	99.89	1.08	2372511	37.00%	51400	0.89	87	NA	NA	NA	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Varese	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0240/EHA01830_bin.6.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0177701	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM038715	EHA02549_bin.54.fa	EHA02549	ABB0290	EHA02549	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	97.5	0	0	99.36	1.91	2012858	38.00%	18114	0.88	169	2021	281	DMB0044,DMB0046,DMB0114,DMB0135	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Pineta	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0290/EHA02549_bin.54.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM038715_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM038715_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM038715.gbk.gz	1177	SD0031103, SD0031101, SD0040102, SD0040101, SD0170802, SD0170801, SD0170803, SD0170903, SD0170902, SD0170901	13.9	41.8	DMB0044,DMB0046,DMB0114,DMB0135	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM038959	EHA02606_bin.4.fa	EHA02606	ABB0296	EHA02606	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	98.95	0	0	99.95	0.24	2221307	38.00%	28970	0.89	142	NA	NA	DMB0044	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Varese	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0296/EHA02606_bin.4.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0177701, SD0175201, SD0175301, SD0177601, SD0169102	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM038993	EHA02599_bin.2.fa	EHA02599	ABB0295	EHA02599	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	98.63	98.63	0.86	100	0.23	2440999	38.00%	20956	0.88	184	2460	511	DMB0044,DMB0046,DMB0114,DMB0135	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Varese	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0295/EHA02599_bin.2.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM038993_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM038993_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM038993.gbk.gz	1283	SD0171202, SD0171101, SD0169503, SD0169502, SD0172201, SD0172202, SD0172203	20.8	47.8	DMB0044,DMB0046,DMB0114,DMB0135	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM039779	EHA02500_bin.38.fa	EHA02500	ABB0285	EHA02500	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	99.42	99.42	0.92	99.98	1.87	2504181	37.00%	15719	0.88	249	NA	NA	DMB0044	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Calusco	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0285/EHA02500_bin.38.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0178901, SD0179101, SD0179001, SD0044604, SD0044602, SD0045303, SD0045302, SD0045301, SD0045603, SD0045602, SD0046603, SD0046602, SD0046601	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM040019	EHA02526_bin.255.fa	EHA02526	ABB0288	EHA02526	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	99.59	99.59	0.95	99.98	0.3	2293954	38.00%	82521	0.89	49	NA	NA	DMB0044	Sciurus vulgaris	Rodentia	Mammalia	Lombardy, Golasecca	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0288/EHA02526_bin.255.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0172601, SD0172501, SD0029703, SD0029804, SD0029801, SD0032503, SD0032502, SD0038504, SD0038503, SD0038501, SD0040203, SD0040202, SD0040201, SD0170402, SD0170401, SD0170303, SD0170301, SD0170302	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM045595	EHA03051_bin.1.fa	EHA03051	ABB0372	EHA03051	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	97.77	0	0	99.98	0.54	2276339	38.00%	32403	0.89	98	NA	NA	NA	Sciurus vulgaris	Rodentia	Mammalia	Ovar	Portugal	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0372/EHA03051_bin.1.fa.gz	NA	NA	FALSE	Species	Individual	Anal/cloacal swab	NA	NA	SD0188603	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM046302	EHA03128_bin.11.fa	EHA03128	ABB0380	EHA03128	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	97.21	0	0	99.96	0.72	2054746	37.00%	39355	0.89	84	2065	307	DMB0117	Cathartes aura	Accipitriformes	Aves	Florida, 4.1 mi N of Brooker	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0380/EHA03128_bin.11.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046302_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046302_kegg.tsv.gz	TRUE	Species	Individual	Stomach contents	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM046302.gbk.gz	1180	SD0296101	14.9	42.9	DMB0117	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM046562	EHA03138_bin.13.fa	EHA03138	ABB0383	EHA03138	2.3.0	R214	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus gallolyticus	97.26	0	0	99.95	0.79	2067699	37.00%	43541	0.89	69	NA	NA	DMB0117	Cathartes aura	Accipitriformes	Aves	Florida, Lake Butler	United States	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0383/EHA03138_bin.13.fa.gz	NA	NA	FALSE	Species	Coassembly	Stomach contents	NA	NA	SD0294501, SD0294501, SD0294701, SD0294801, SD0295001, SD0295001, SD0295101, SD0295201, SD0295301, SD0295301, SD0295801, SD0295901, SD0296101, SD0296201, SD0296701, SD0297601, SD0297601, SD0297701, SD0297801, SD0297801, SD0297901, SD0298001, SD0298101	NA	NA	NA	NA	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
