Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM013411	97	97	83	69	50	38	4969598	4969598	4925450	4828666	4549734	4124308	97	219332	4969598	47.89	105118	28072	114518.1	16	48	0.00	4 + 1 part
EHM015951	62	62	61	59	49	33	4627090	4627090	4622199	4606027	4443000	3839814	62	330072	4627090	48.24	115086	40521	131383.4	14	41	0.00	2 + 0 part
EHM019781	94	94	80	68	46	30	4866050	4866050	4815908	4722465	4374151	3787950	94	373957	4866050	47.87	110865	22223	140969.8	13	47	0.00	4 + 0 part
EHM025129	103	103	81	66	50	38	4947652	4947652	4885771	4781584	4548917	4099852	103	390184	4947652	47.89	94600	29831	124797.7	16	47	0.00	4 + 1 part
EHM034518	45	45	36	33	24	20	4792154	4792154	4761074	4741952	4601936	4458978	45	835851	4792154	48.02	300554	62900	356682.2	5	18	0.00	4 + 1 part
EHM034582	66	66	58	44	33	25	4812957	4812957	4787240	4684286	4517995	4264055	66	593760	4812957	47.97	205045	36637	252294.5	7	27	0.00	6 + 0 part
EHM034613	57	57	52	46	35	29	4727852	4727852	4710243	4662530	4464476	4269104	57	384663	4727852	48.05	181676	61910	178838.9	10	29	0.00	4 + 1 part
EHM034663	106	106	48	34	29	21	4978946	4978946	4842100	4748588	4673131	4411028	106	525714	4978946	47.84	254463	38003	278310.8	6	23	0.00	10 + 2 part
EHM035016	110	110	97	81	57	34	4509409	4509409	4473645	4354944	3935982	3151908	110	300750	4509409	47.96	74245	22143	88510.1	20	63	0.00	6 + 0 part
EHM035261	42	42	38	35	34	26	4757837	4757837	4744110	4721951	4697841	4415619	42	489621	4757837	48.10	224320	52825	228632.3	8	24	0.00	5 + 1 part
EHM036445	107	107	102	85	57	31	4395004	4395004	4381063	4246566	3758916	2843666	107	252684	4395004	48.27	69901	21161	85145.9	20	66	0.00	7 + 1 part
EHM042511	33	33	33	32	26	24	4638372	4638372	4638372	4630938	4524377	4452981	33	607042	4638372	47.90	241749	81236	256408.0	7	20	0.00	4 + 1 part
EHM042896	198	198	152	122	62	28	4716821	4716821	4569500	4351371	3296680	2120242	198	124090	4716821	48.34	42603	12455	50332.3	34	113	0.00	2 + 0 part
EHM045471	39	39	38	33	26	21	4710383	4710383	4705687	4666142	4564277	4370900	39	772205	4710383	48.07	229328	78429	309824.4	6	19	0.00	6 + 2 part
EHM045496	484	484	261	124	28	4	4139503	4139503	3423830	2451996	1070307	244789	484	70698	4139503	48.35	11881	3848	18300.2	89	331	0.00	3 + 2 part
EHM051482	110	110	103	85	50	28	4624946	4624946	4596453	4466243	3889004	3069704	110	303261	4624946	47.97	69242	19810	113205.1	15	63	0.00	2 + 2 part
EHM052369	163	163	143	109	68	27	4713253	4713253	4650333	4416452	3682890	2277195	163	256095	4713253	48.01	48175	15409	64750.3	29	96	0.00	4 + 1 part
EHM052762	77	77	71	65	46	26	4801238	4801238	4784206	4741751	4389418	3683753	77	475438	4801238	48.31	120409	26785	183535.6	10	44	0.00	5 + 2 part
EHM053163	35	35	35	30	25	21	4415282	4415282	4415282	4381097	4287132	4145532	35	864503	4415282	48.05	282104	64157	352831.9	5	19	0.00	4 + 2 part
EHM054246	112	112	49	45	31	27	4825815	4825815	4662814	4636885	4396962	4260835	112	621080	4825815	48.01	159063	29060	233601.7	9	30	0.00	7 + 7 part
EHM056851	370	370	257	153	51	15	5100806	5100806	4768574	3997789	2353369	1049569	370	141433	5100806	48.26	23613	6450	32352.9	60	227	0.00	2 + 2 part
EHM058631	39	39	36	34	30	27	4676728	4676728	4668616	4654450	4598027	4496744	39	671135	4676728	48.08	212507	71452	267417.9	7	23	0.00	4 + 2 part
EHM058684	345	345	245	155	46	7	4638600	4638600	4311313	3643333	1903154	489338	345	100192	4638600	47.95	20364	6449	26819.9	65	222	0.00	2 + 2 part
EHM060603	43	43	37	34	29	25	4576044	4576044	4558895	4537944	4467872	4316447	43	448867	4576044	48.09	228004	78474	218974.2	8	22	0.00	3 + 2 part
EHM060845	50	50	48	45	38	26	4683607	4683607	4677401	4656200	4522239	4120719	50	348530	4683607	47.93	190832	38071	189473.3	9	29	0.00	1 + 4 part
EHM064053	153	153	132	106	60	25	4544263	4544263	4475695	4297588	3590746	2319255	153	212698	4544263	47.93	50026	13096	71149.7	25	88	0.00	3 + 2 part
EHM071561	365	365	253	151	51	15	5064416	5064416	4731828	3974425	2356344	1049569	365	141433	5064416	48.20	23655	6388	32539.1	59	224	0.00	5 + 2 part
GCF_001559255.2	1	1	1	1	1	1	4513714	4513714	4513714	4513714	4513714	4513714	1	4513714	4513714	48.20	4513714	4513714	4513714.0	1	1	0.00	25 + 0 part
GCF_023096345.1	370	370	237	157	54	11	4718603	4718603	4375698	3804961	2118646	656764	370	78206	4718603	48.49	22863	5936	26754.9	65	214	0.00	2 + 1 part
GCF_030843585.1	142	142	100	80	58	29	4800421	4800421	4713230	4574468	4209163	3160131	142	312984	4800421	48.10	74889	20604	108741.1	17	64	0.00	0 + 1 part
GCF_937943035.1	97	97	86	75	53	35	5148807	5148807	5108483	5027550	4684781	4052721	97	239518	5148807	47.89	101453	26556	115234.5	17	52	0.00	2 + 0 part
GCF_958410475.1	73	73	70	65	51	33	4579278	4579278	4569068	4528126	4298880	3661468	73	241422	4579278	47.91	104223	31308	111808.0	15	45	0.00	1 + 0 part
GCF_959018365.1	76	76	75	71	53	34	4404199	4404199	4400417	4373048	4055156	3407660	76	255151	4404199	48.06	87165	26266	107557.9	15	50	0.00	0 + 0 part
GCF_959028575.1	58	58	55	51	41	30	4677881	4677881	4666018	4633164	4456966	4063642	58	416354	4677881	48.06	138760	40589	172618.4	11	34	0.00	0 + 0 part
GCF_959599705.1	38	38	38	36	34	25	4535434	4535434	4535434	4520889	4483251	4138167	38	373255	4535434	47.97	223215	56706	208214.5	8	24	0.00	1 + 0 part
