ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission
EHM019871	EHA00169_bin.28.fa	EHA00169	ABB0134	EHA00169	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis	99.47	99.47	0.95	98.94	0	3196609	40.00%	88641	NA	60	NA	NA	DMB0029,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Berlin-Brandenburg	Germany	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0134/EHA00169_bin.28.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0141701, SD0142601, SD0144601, SD0144201, SD0144101, SD0144301, SD0141901, SD0141501, SD0141601, SD0142101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM019949	EHA00216_bin.13.fa	EHA00216	ABB0146	EHA00216	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis	99.34	99.34	0.95	99.06	1.62	3538712	40.00%	159540	NA	60	3117	410	DMB0029,DMB0114,DMB0172	Plecotus auritus	Chiroptera	Mammalia	Wales, Chepstow	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0146/EHA00216_bin.13.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019949_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019949_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019949.gbk.gz	2140	SD0074201, SD0074301, SD0072801, SD0072701, SD0072601, SD0072901, SD0073901, SD0074001	13.2	31.3	DMB0029,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM021444	EHA01397_bin.22.fa	EHA01397	ABB0186	EHA01397	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis	96.92	96.92	0.94	91.22	0.96	2975293	39.90%	15217	NA	296	2660	270	DMB0097,DMB0114,DMB0151	Salamandra atra	Urodela	Amphibia	Hercegovina	Bosnia and Herzegovina	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0186/EHA01397_bin.22.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM021444_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM021444_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM021444.gbk.gz	1893	SD0148801	10.2	28.8	DMB0097,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM034123	EHA02205_bin.40.fa	EHA02205	ABB0264	EHA02205	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis	99.54	99.54	0.96	98.3	0.01	3309216	40.00%	175419	0.82	38	2898	316	DMB0040,DMB0114,DMB0150,DMB0180	Myotis bechsteinii	Chiroptera	Mammalia	Lombardy, GrottaMarelli	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0264/EHA02205_bin.40.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM034123_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM034123_kegg.tsv.gz	TRUE	Species	Coassembly	Anal/cloacal swab	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM034123.gbk.gz	2059	SD0174301, SD0274701, SD0273001, SD0273501, SD0273801, SD0279301, SD0274201, SD0273401, SD0274001, SD0278101, SD0278001, SD0274901, SD0280001, SD0274101, SD0275001, SD0279601, SD0273901, SD0278701, SD0273701, SD0279101, SD0274501, SD0274601, SD0274801, SD0273601, SD0273301, SD0278501, SD0272901, SD0275201, SD0279701, SD0278901, SD0278801, SD0275301, SD0279901, SD0273201, SD0278601, SD0279801, SD0279001, SD0279201, SD0274301, SD0275101, SD0279401, SD0277901, SD0279501, SD0274401, SD0278301, SD0278401, SD0278201	10.9	29	DMB0040,DMB0114,DMB0150,DMB0180	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM044997	EHA02996_bin.3.fa	EHA02996	ABB0369	EHA02996	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis	99.41	99.41	0.97	100	0.01	3407637	40.00%	341823	0.82	28	3017	367	DMB0172	Plecotus auritus	Chiroptera	Mammalia	Wales, Chepstow	United Kingdom	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0369/EHA02996_bin.3.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM044997_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM044997_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM044997.gbk.gz	2108	SD0074301	12.2	30.1	DMB0172	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM046366	EHA03124_bin.38.fa	EHA03124	ABB0379	EHA03124	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis	99.56	99.56	0.95	92.47	0.21	3206502	40.00%	16692	0.82	320	NA	NA	DMB0172	Plecotus auritus	Chiroptera	Mammalia	AUVERGNE-RHONE-ALPES	France	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0379/EHA03124_bin.38.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0375701, SD0375801, SD0375601, SD0376001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM052078	EHA03488_bin.5.fa	EHA03488	ABB0411	EHA03488	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis	96.96	96.96	0.83	99.78	1.31	3511872	41.00%	22102	0.83	227	3315	583	DMB0123,DMB0134	Geospizopsis unicolor	Passeriformes	Aves	Azuay	Ecuador	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0411/EHA03488_bin.5.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM052078_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM052078_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM052078.gbk.gz	2122	SD0370601, SD0370501, SD0370601, SD0370501, SD0370601, SD0370501	17.6	36	DMB0123	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM052326	EHA03524_bin.36.fa	EHA03524	ABB0417	EHA03524	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis	96.89	96.89	0.92	99.99	0	3375711	40.00%	177127	0.83	34	2982	337	DMB0129,DMB0134,DMB0151	Salamandra atra	Urodela	Amphibia	Hercegovina	Bosnia and Herzegovina	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0417/EHA03524_bin.36.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM052326_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM052326_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM052326.gbk.gz	2137	SD0148301, SD0148301, SD0148401, SD0148401, SD0148301, SD0148401	11.3	28.3	DMB0129,DMB0134,DMB0151	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM052968	EHA03530_bin.16.fa	EHA03530	ABB0418	EHA03530	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis	96.98	96.98	0.89	99.95	0.02	3430967	40.00%	59059	0.88	107	NA	NA	DMB0130,DMB0134	Sciurus carolinensis	Rodentia	Mammalia	Piedmont, Torino	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0418/EHA03530_bin.16.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0032701, SD0032701, SD0043802, SD0043802, SD0032701, SD0043802	NA	NA	DMB0130	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
EHM055459	EHA04026_bin.20.fa	EHA04026	ABB0440	EHA04026	2.3.0	R214	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis	96.92	96.92	0.91	99.98	0.14	3398317	40.00%	78468	0.83	64	NA	NA	DMB0151	Salamandra atra	Urodela	Amphibia	Hercegovina	Bosnia and Herzegovina	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0440/EHA04026_bin.20.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0148601	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA
