Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM016370	45	45	42	39	32	18	2749426	2749426	2739466	2717436	2595298	2115500	45	261530	2749426	37.57	98983	29332	129411.7	8	28	0.00	0 + 1 part
EHM016583	345	345	189	70	7	0	2468385	2468385	1981452	1128434	205161	0	345	41709	2468385	37.75	9044	3547	11734.0	82	247	0.00	0 + 0 part
EHM017156	40	40	35	30	23	14	2814781	2814781	2800326	2766936	2633760	2288543	40	420130	2814781	37.43	182728	37259	195455.3	5	20	0.00	0 + 0 part
EHM017292	21	21	20	19	18	12	2785472	2785472	2780497	2773244	2749579	2522429	21	489105	2785472	37.37	248357	77677	274778.7	4	12	0.00	0 + 0 part
EHM019889	104	104	96	77	29	12	2481474	2481474	2449450	2299670	1492396	861493	104	115036	2481474	37.78	36804	13095	42448.5	21	72	0.00	1 + 0 part
EHM020945	65	65	59	51	33	19	2769116	2769116	2746115	2682014	2353917	1832959	65	503369	2769116	37.54	67291	19419	138931.6	12	40	0.00	1 + 0 part
EHM032299	125	125	88	72	42	14	2700320	2700320	2595333	2478980	2005987	1010503	125	173812	2700320	37.85	42838	10984	49802.1	22	68	0.00	0 + 0 part
EHM032900	186	186	118	81	40	14	3023152	3023152	2819530	2554205	1868422	918526	186	86531	3023152	37.18	36768	6798	37425.2	28	102	0.00	0 + 1 part
EHM041310	165	165	136	96	36	3	2634568	2634568	2545835	2251850	1284726	165580	165	59272	2634568	37.45	23994	7773	25748.2	38	110	0.00	0 + 0 part
EHM042893	433	433	166	58	10	0	2554736	2554736	1795206	1044323	342617	0	433	42825	2554736	37.51	8251	2642	12110.1	84	306	0.00	0 + 0 part
EHM043089	23	23	23	23	19	14	2651979	2651979	2651979	2651979	2570809	2381274	23	439787	2651979	37.58	151770	49521	226382.1	5	15	0.00	1 + 0 part
EHM047467	116	116	89	72	37	13	2613082	2613082	2523625	2398197	1813178	939772	116	178470	2613082	37.71	38479	11589	48262.8	22	68	0.00	1 + 0 part
EHM052664	210	210	113	80	40	12	3061413	3061413	2789578	2543325	1909045	990202	210	110534	3061413	37.12	31749	5629	42672.6	27	107	0.00	3 + 0 part
EHM053903	74	74	69	61	39	19	2718045	2718045	2701064	2634251	2295869	1613871	74	155149	2718045	37.62	65686	17436	68043.7	15	47	0.00	1 + 0 part
EHM054300	129	129	104	88	41	9	2587415	2587415	2505173	2396614	1662322	575808	129	87914	2587415	37.68	29769	10672	34791.8	28	82	0.00	1 + 0 part
EHM055959	60	60	56	44	28	20	2912717	2912717	2894800	2801568	2513037	2216225	60	302674	2912717	37.35	95992	19744	112064.5	10	33	0.00	0 + 0 part
EHM056699	166	166	123	80	30	10	2588880	2588880	2439867	2125267	1377951	700703	166	119566	2588880	37.66	26524	6613	35405.4	27	105	0.00	0 + 1 part
EHM057288	45	45	41	37	29	19	2806131	2806131	2794440	2763120	2595843	2228210	45	396130	2806131	37.43	106837	31135	140046.8	8	27	0.00	5 + 0 part
EHM057799	67	67	56	49	31	16	2664120	2664120	2627854	2572425	2254463	1720004	67	295458	2664120	37.63	72459	18627	100979.0	10	38	0.00	1 + 0 part
EHM063900	72	72	64	55	36	19	2704820	2704820	2678214	2616160	2258099	1676260	72	150053	2704820	37.67	73995	19400	68735.4	14	44	0.00	1 + 0 part
EHM079004	66	66	60	51	31	18	2845473	2845473	2822045	2757557	2389416	1926140	66	210183	2845473	37.49	74554	19819	95991.6	11	39	0.00	0 + 0 part
GCA_000205205.1	126	100	65	57	33	16	3026279	3009048	2917496	2856355	2450606	1829271	100	411065	3009048	37.14	81792	15875	115063.1	12	46	84.94	1 + 0 part
GCA_000505585.1	397	115	73	61	39	18	3213860	3107536	3015717	2924733	2534495	1798041	115	201859	3107536	37.15	61622	16602	81220.3	14	52	0.00	3 + 0 part
GCA_000508705.1	50	38	31	25	20	16	2965864	2958835	2940867	2895494	2805336	2669240	38	608611	2958835	37.32	199082	50461	244473.3	5	16	24.47	0 + 0 part
GCA_001913975.1	105	105	68	57	32	20	3142035	3142035	3044524	2964929	2542638	2106301	105	291590	3142035	37.07	76013	16093	100526.8	12	47	0.00	0 + 0 part
GCA_001913995.1	41	41	35	31	23	13	2994424	2994424	2980263	2951090	2802998	2459718	41	590273	2994424	37.25	182317	32050	245232.1	5	20	12.02	0 + 1 part
GCA_003449815.1	21	21	20	18	15	11	2658041	2658041	2655159	2639065	2572146	2410785	21	866791	2658041	37.74	282216	65450	417045.1	3	11	44.17	0 + 0 part
GCA_014853775.1	491	490	202	109	20	0	3206492	3205507	2488348	1818795	566558	0	490	37193	3205507	37.08	11342	2863	13215.0	89	309	0.00	1 + 2 part
GCA_018380395.1	46	46	34	31	21	16	2958376	2958376	2922896	2903256	2757365	2561734	46	524929	2958376	37.25	178540	41470	247141.5	5	19	0.00	0 + 1 part
GCA_020743815.1	108	108	92	68	38	16	2775563	2775563	2716127	2538580	2070366	1347248	108	183499	2775563	37.51	46336	10946	58656.9	17	65	0.00	0 + 0 part
GCA_022767805.1	29	29	28	28	23	16	2854153	2854153	2850948	2850948	2773975	2557006	29	500435	2854153	37.39	191825	42103	218712.8	5	17	0.00	1 + 0 part
GCA_022790725.1	39	39	38	36	29	17	2679549	2679549	2678063	2660973	2519611	2107534	39	313037	2679549	37.56	117179	28777	140876.5	7	26	0.00	0 + 0 part
GCA_024160765.1	471	315	137	88	33	8	3117663	3007469	2555407	2172974	1251854	446663	315	60063	3007469	37.16	22030	3797	24177.3	44	173	28.66	2 + 2 part
GCA_028131945.1	3	3	3	3	3	2	3636097	3636097	3636097	3636097	3636097	3604846	3	3531345	3636097	37.14	3531345	3531345	3431365.2	1	1	0.00	12 + 0 part
GCA_029851725.1	18	18	18	18	15	11	2578755	2578755	2578755	2578755	2516750	2344770	18	369490	2578755	37.69	286206	60785	254378.7	4	11	0.00	0 + 0 part
