Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM013856	68	68	55	45	39	34	5435271	5435271	5391334	5318747	5217342	5018603	68	440692	5435271	51.97	173844	59108	189315.9	11	32	0.00	7 + 0 part
EHM016687	118	118	111	96	71	40	4971521	4971521	4946110	4831923	4398915	3267911	118	189696	4971521	52.08	63394	23066	72033.6	26	75	0.00	4 + 1 part
EHM018416	105	105	95	81	60	34	4682009	4682009	4642520	4544558	4172607	3273238	105	167986	4682009	52.35	83076	23104	82808.9	21	62	0.00	7 + 2 part
EHM019588	42	42	36	33	26	21	5132553	5132553	5109546	5086164	4987700	4793551	42	608157	5132553	52.16	360863	72486	336072.4	6	19	0.00	3 + 4 part
EHM025899	123	123	108	96	63	37	4948952	4948952	4903426	4816351	4243487	3298391	123	217755	4948952	52.08	65384	20383	81006.4	23	73	0.00	4 + 1 part
EHM034508	89	89	81	75	55	35	4944607	4944607	4914415	4868513	4508204	3864701	89	248991	4944607	51.77	95467	26446	110258.0	17	53	0.00	2 + 0 part
EHM036539	92	92	81	75	56	36	5061706	5061706	5025013	4979112	4631881	3995130	92	248991	5061706	51.74	101425	26446	110699.9	17	54	0.00	2 + 0 part
EHM042977	99	99	90	80	61	37	4628168	4628168	4593059	4522028	4198324	3310294	99	209090	4628168	52.36	76921	25522	82531.6	21	60	0.00	4 + 0 part
EHM043923	43	43	41	41	33	24	4978702	4978702	4970460	4970460	4827212	4472766	43	403650	4978702	52.21	207777	49438	222235.7	9	25	0.00	3 + 5 part
EHM050060	122	122	109	100	74	34	5136877	5136877	5100990	5030062	4568623	3108525	122	178656	5136877	51.98	68704	23750	74827.1	26	77	0.00	4 + 1 part
EHM055692	82	82	70	61	43	30	5171118	5171118	5123908	5057543	4768848	4286445	82	365491	5171118	51.93	134920	32212	167628.4	11	39	0.00	5 + 2 part
EHM066268	34	34	29	24	23	18	4961447	4961447	4944794	4909617	4899242	4723561	34	455780	4961447	52.08	363331	130987	310269.3	6	16	0.00	4 + 0 part
EHM079210	253	253	194	148	67	26	5254340	5254340	5073980	4749144	3373811	1993442	253	156467	5254340	52.12	34576	10260	46375.2	42	147	0.00	7 + 0 part
EHM081080	62	62	51	42	35	26	5241026	5241026	5201522	5129984	5019868	4686916	62	403341	5241026	52.06	191787	47820	210696.1	9	27	0.00	7 + 0 part
EHM082134	29	29	27	25	21	17	5272071	5272071	5265713	5250868	5182896	5028508	29	851137	5272071	51.60	452413	126454	448776.8	5	14	0.00	5 + 2 part
EHM082624	54	54	53	49	43	29	4880780	4880780	4877893	4844892	4749388	4200359	54	290524	4880780	52.28	154317	42702	153593.0	12	34	0.00	4 + 0 part
GCF_014230105.1	216	34	22	20	18	12	5297304	5237643	5211314	5194011	5172086	4993682	34	1195353	5237643	51.97	627142	130992	648051.9	3	10	0.00	9 + 0 part
GCF_018138525.1	108	99	67	60	50	33	5142092	5139038	5058915	5008321	4868277	4287449	99	417124	5139038	51.93	120908	32736	158379.7	13	42	0.00	2 + 0 part
GCF_030131705.1	54	14	12	12	12	10	4901856	4886732	4878712	4878712	4878712	4807793	14	1688939	4886732	52.21	951793	146320	929165.1	2	7	0.00	4 + 2 part
GCF_030357945.1	227	71	49	45	39	32	4959775	4862755	4818280	4789043	4691556	4473448	71	374153	4862755	52.12	156118	51858	174875.4	11	31	0.00	10 + 0 part
GCF_036957665.1	99	91	59	51	36	29	5422334	5416573	5341382	5282483	5025423	4795335	91	456749	5416573	51.94	223710	40991	220086.6	9	31	9.08	2 + 1 part
GCF_046518655.1	31	19	14	14	14	12	4916747	4912741	4901872	4901872	4901872	4831315	19	864790	4912741	52.07	518496	150916	558836.9	4	9	0.00	4 + 2 part
GCF_046555535.1	67	35	34	33	28	22	4899163	4886172	4881777	4872205	4779522	4580774	35	560497	4886172	52.11	227907	71252	282336.6	7	20	0.00	1 + 2 part
GCF_046555695.1	46	28	26	26	23	20	4898243	4889732	4884330	4884330	4822562	4718997	28	560497	4889732	52.11	363392	88966	337406.5	6	16	0.00	0 + 4 part
GCF_046555735.1	56	37	27	24	24	20	5117805	5110080	5092585	5070205	5070205	4928866	37	695805	5110080	52.02	349463	88656	358685.4	6	16	0.00	1 + 4 part
GCF_046559175.1	43	25	21	21	21	17	4862083	4855488	4847107	4847107	4847107	4694846	25	610382	4855488	52.07	431843	129470	363318.9	5	14	0.00	0 + 5 part
GCF_047313245.1	48	25	20	19	18	15	4870922	4861902	4851878	4842357	4831440	4729337	25	1100900	4861902	51.98	480725	134702	529839.5	4	12	0.00	1 + 2 part
GCF_050782755.1	55	28	20	20	20	16	4940769	4929779	4912316	4912316	4912316	4763238	28	653080	4929779	52.11	429420	103995	410697.7	5	13	32.39	7 + 0 part
GCF_054185985.1	76	76	39	32	27	23	5117167	5117167	5024015	4971916	4869662	4727815	76	726340	5117167	51.92	243029	66709	329458.9	6	21	0.00	6 + 2 part
GCF_054186025.1	32	32	27	26	24	16	4738228	4738228	4724314	4714745	4680137	4393297	32	955036	4738228	52.19	368213	99643	415082.2	5	15	0.00	5 + 1 part
