Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp	# predicted rRNA genes
EHM028451	40	40	35	33	28	18	2718048	2718048	2707518	2689332	2593883	2213808	40	221124	2718048	36.48	143989	38966	128291.1	8	24	0.00	0 + 2 part
EHM030672	41	41	37	35	26	15	2862920	2862920	2849452	2836442	2680103	2290242	41	499744	2862920	36.67	160051	31443	191711.0	6	23	0.00	2 + 1 part
EHM031657	40	40	38	36	29	18	2831882	2831882	2825247	2809340	2678236	2280309	40	333560	2831882	36.70	148493	31540	146389.4	7	25	0.00	2 + 0 part
EHM042200	92	92	62	49	31	22	3035989	3035989	2943753	2847317	2527125	2202703	92	204348	3035989	36.33	84928	18557	89320.7	13	41	0.00	4 + 0 part
EHM042775	37	37	34	32	27	19	2716568	2716568	2709478	2691271	2601576	2303911	37	274898	2716568	36.49	152864	38966	137941.2	7	23	0.00	1 + 2 part
EHM043802	49	49	47	42	30	23	2834520	2834520	2828097	2791431	2574157	2304710	49	161379	2834520	36.82	98937	26627	95465.5	12	30	0.00	6 + 1 part
EHM054902	34	34	33	32	26	20	2721429	2721429	2719375	2710149	2600924	2363996	34	309537	2721429	36.51	114934	45378	145410.7	7	22	0.00	0 + 2 part
EHM063775	448	448	191	64	2	0	2638264	2638264	1866659	962607	69948	0	448	37228	2638264	36.90	8098	2780	9625.0	104	325	0.00	3 + 0 part
EHM073018	310	310	84	59	36	21	3608305	3608305	3094172	2926794	2540399	2011127	310	152905	3608305	36.86	67690	2929	65721.1	18	125	0.00	4 + 0 part
EHM073266	35	35	34	33	30	19	2657623	2657623	2655569	2646343	2588303	2161192	35	309699	2657623	36.55	97237	38966	135704.8	7	25	0.00	0 + 2 part
EHM074946	685	685	66	5	0	0	2054117	2054117	430037	58631	0	0	685	14220	2054117	36.93	3209	1775	3799.3	217	559	0.00	0 + 0 part
GCA_002212045.1	76	65	57	55	38	23	2860996	2853798	2829925	2816857	2535064	2013863	65	187772	2853798	36.76	67326	23506	79219.0	14	40	0.00	3 + 0 part
GCA_002213305.1	72	62	53	50	37	23	2852997	2846015	2823957	2801673	2564153	2048980	62	142904	2846015	36.83	70870	25581	79032.2	14	37	0.00	3 + 0 part
GCA_002213345.1	149	114	85	67	34	16	2849590	2823852	2757856	2624737	2091354	1388432	114	145177	2823852	36.80	49718	12446	60709.4	17	60	0.00	3 + 0 part
GCA_017356505.1	63	63	38	24	14	14	3081981	3081981	3013024	2917107	2786075	2786075	63	422756	3081981	36.36	198163	58134	235493.2	5	14	17.59	4 + 0 part
GCA_017356525.1	22	22	19	17	15	13	2624579	2624579	2619520	2606120	2578277	2521744	22	326511	2624579	36.97	215393	91148	213043.9	5	12	0.53	5 + 0 part
GCA_018374335.1	64	64	58	49	37	22	2901992	2901992	2879268	2813012	2629021	2137141	64	238504	2901992	36.58	84137	25019	96236.3	11	37	0.00	0 + 0 part
GCA_023375155.1	4	4	3	1	1	1	2737392	2737392	2734468	2720563	2720563	2720563	4	2720563	2737392	37.02	2720563	2720563	2703877.9	1	1	0.00	18 + 0 part
GCA_026202095.1	98	72	43	34	27	18	3056807	3044514	2979244	2912449	2783965	2450056	72	313755	3044514	36.73	137597	25751	139085.2	8	26	19.71	3 + 3 part
GCA_026203875.1	57	43	33	27	18	13	2696264	2689802	2662236	2621301	2481692	2284506	43	394518	2689802	36.92	189785	39420	198586.4	5	17	14.87	3 + 3 part
GCA_030270245.1	196	77	54	46	32	19	3085333	3049502	2996150	2938873	2678989	2190173	77	281130	3049502	36.63	83407	21652	118345.4	10	35	0.00	6 + 0 part
