ID	mag_name	link_to_assembly	AB_batch	eha_number	GTDB_version	GTDB_release	domain	phylum	class	order	family	genus	species	fastani_ani	closest_placement_ani	closest_placement_af	completeness	contamination	size	GC	N50	coding_density	contigs	number_genes	number_unannotated_genes	DM_batch	host_species	host_order	host_class	locality	country	MAG_url	anno_url	kegg_url	annotated	taxonomy_level	assembly_type	sample_type	gbk_url	kegg_hits	Capture ID	percent_unannotated_genes	percent_unannotated_kegg	dereplicated	metagenomic source	completeness software	binning software	assembly quality	binning parameters	taxonomic identity marker	isolation_source	assembly software	Submission	species_clean
EHM016840	EHA00720_bin.5.fa	EHA00720	ABB0124	EHA00720	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	97.96	97.96	0.83	93.79	0.9	6050239	43.60%	43339	NA	193	4856	968	DMB0048,DMB0114,DMB0161,DMB0162,DMB0187	Podarcis pityusensis	Squamata	Reptilia	Ibiza	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0124/EHA00720_bin.5.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016840_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016840_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM016840.gbk.gz	2020	SD0223901	19.9	58.4	DMB0048,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS015	parabacteroides_goldsteinii
EHM018199	EHA00687_bin.7.fa	EHA00687	ABB0123	EHA00687	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	97.8	97.8	0.8	96.33	1.81	6341802	43.40%	99144	NA	93	5002	1032	DMB0037,DMB0114,DMB0160,DMB0162,DMB0187	Podarcis gaigeae	Squamata	Reptilia	Molos Beach	Greece	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0123/EHA00687_bin.7.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM018199_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM018199_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM018199.gbk.gz	2122	SD0237201	20.6	57.6	DMB0037,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS015	parabacteroides_goldsteinii
EHM018319	EHA00672_bin.12.fa	EHA00672	ABB0123	EHA00672	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	97.95	97.95	0.85	90.62	0.71	5386727	43.90%	24369	NA	301	NA	NA	DMB0038,DMB0159	Podarcis filfolensis	Squamata	Reptilia	University of Malta	Malta	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0123/EHA00672_bin.12.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0229001	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS015	parabacteroides_goldsteinii
EHM018971	EHA00696_bin.14.fa	EHA00696	ABB0132	EHA00696	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	97.62	97.62	0.77	98.03	0.77	6836605	43.00%	70951	NA	161	5590	1304	DMB0049,DMB0112,DMB0114	Podarcis muralis	Squamata	Reptilia	Albano Laziale	Italy	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0132/EHA00696_bin.14.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM018971_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM018971_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM018971.gbk.gz	2247	SD0226101	23.3	59.8	DMB0049,DMB0112,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS015	parabacteroides_goldsteinii
EHM019513	EHA00651_bin.14.fa	EHA00651	ABB0131	EHA00651	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	98.21	98.21	0.89	93.87	0.19	5684108	43.40%	75938	NA	114	4531	910	DMB0038,DMB0114,DMB0159,DMB0162,DMB0187	Podarcis filfolensis	Squamata	Reptilia	Marsaskala	Malta	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0131/EHA00651_bin.14.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019513_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019513_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019513.gbk.gz	1912	SD0231901	20.1	57.8	DMB0038,DMB0114,DMB0159,DMB0162	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS015	parabacteroides_goldsteinii
EHM019698	EHA00660_bin.23.fa	EHA00660	ABB0131	EHA00660	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	97.93	97.93	0.85	91.23	0	5951914	43.60%	61619	NA	161	4720	936	DMB0038,DMB0114,DMB0159,DMB0162,DMB0187	Podarcis filfolensis	Squamata	Reptilia	Ggantija	Malta	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0131/EHA00660_bin.23.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019698_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019698_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM019698.gbk.gz	2029	SD0233301	19.8	57	DMB0038,DMB0114,DMB0159,DMB0162	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS015	parabacteroides_goldsteinii
EHM020631	EHA01341_bin.23.fa	EHA01341	ABB0176	EHA01341	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	97.81	97.81	0.8	95.44	0.67	6285720	43.30%	52484	NA	192	4980	1005	DMB0107,DMB0114	Tarentola mauritanica	Squamata	Reptilia	Figueira de Castelo Rodrigo	Portugal	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0176/EHA01341_bin.23.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020631_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020631_kegg.tsv.gz	TRUE	Species	Individual	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM020631.gbk.gz	2092	SD0260301	20.2	58	DMB0107,DMB0114	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	parabacteroides_goldsteinii
EHM044815	EHA02919_bin.4.fa	EHA02919	ABB0351	EHA02919	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	97.87	97.87	0.89	99.93	2.29	5034310	44.00%	14784	0.9	511	NA	NA	DMB0161	Podarcis pityusensis	Squamata	Reptilia	Ibiza	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0351/EHA02919_bin.4.fa.gz	NA	NA	FALSE	Species	Coassembly	Faecal	NA	NA	SD0222601, SD0223701, SD0223801, SD0223901, SD0224401, SD0224601, SD0223101, SD0222901, SD0222801, SD0223301, SD0224501, SD0223201	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	parabacteroides_goldsteinii
EHM047420	EHA03294_bin.4.fa	EHA03294	ABB0381	EHA03294	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	98.08	98.08	0.84	90.56	1.76	5942293	43.00%	19752	0.91	435	NA	NA	DMB0118,DMB0165	Lepus europaeus	Lagomorpha	Mammalia	Nafarroa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0381/EHA03294_bin.4.fa.gz	NA	NA	FALSE	Species	Individual	Faecal	NA	NA	SD0421101	NA	NA	NA	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	EHS006	parabacteroides_goldsteinii
EHM048328	EHA03305_bin.115.fa	EHA03305	ABB0382	EHA03305	2.3.0	R214	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	98.4	98.4	0.9	99.04	1.22	5624334	44.00%	29939	0.91	300	4527	884	DMB0118,DMB0165	Lepus europaeus	Lagomorpha	Mammalia	Nafarroa	Spain	https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0382/EHA03305_bin.115.fa.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM048328_anno.tsv.gz	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM048328_kegg.tsv.gz	TRUE	Species	Coassembly	Faecal	https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM048328.gbk.gz	1970	SD0420101, SD0420201, SD0420301, SD0420401, SD0420501, SD0420601, SD0420701, SD0420801, SD0420901, SD0421001, SD0421101, SD0421201	19.5	56.5	DMB0118,DMB0165	1861841	CheckM2 v1.0.1	MaxBin2, CONCOCT, MetaBAT2, refined using MetaWRAP refinement module	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	default binning parameters	GTDB-tk v2.3.0	host-associated	Megahit v1.2.9	NA	parabacteroides_goldsteinii
